phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,39,-1,0.9298,108.73594621152614,75.34722222222221,27,6,0,0,1569.0,23.47926199261993,1592.47926199262,-1065.0,-156.89999999999998,-1221.9,62,54,62,52,58
train,0.1,40,-1,0.9279999999999999,171.33630752649256,63.541666666666664,0,0,0,0,1474.7,23.47926199261993,1498.17926199262,36.0,-147.47,-111.47000000000001,67,51,68,55,47
train,0.1,41,-1,0.9262,114.41819320255549,87.15277777777779,23,1,0,0,1550.3,23.47926199261993,1573.77926199262,-873.0,-155.03,-1028.03,59,59,56,63,51
train,0.1,42,-1,0.9244,108.8187002880976,77.43055555555556,43,8,0,0,1595.3,23.47926199261993,1618.77926199262,-1269.0,-159.52999999999997,-1428.5300000000002,58,55,60,58,57
train,0.1,43,-1,0.9226,80.0784893071666,39.58333333333333,130,14,0,0,1576.3999999999999,23.47926199261993,1599.8792619926198,-3054.0,-157.64000000000001,-3211.6400000000003,53,60,63,60,52
train,0.1,44,-1,0.9208000000000001,149.9409780493813,80.20833333333334,0,0,0,0,1537.7,23.47926199261993,1561.17926199262,-38.0,-153.76999999999998,-191.76999999999998,57,61,66,51,53
train,0.1,45,-1,0.919,162.8857571331176,66.66666666666666,0,0,0,0,1457.0,23.47926199261993,1480.47926199262,28.0,-145.7,-117.7,66,71,55,42,54
train,0.1,46,-1,0.9172,164.51026169404906,72.22222222222221,0,0,0,0,1502.8,23.47926199261993,1526.27926199262,236.0,-150.28,85.72,61,65,59,51,52
train,0.1,47,-1,0.9154,118.08173256564484,55.90277777777778,86,6,0,0,1707.1,23.47926199261993,1730.5792619926199,-1770.0,-170.70999999999998,-1940.71,50,54,61,56,67
train,0.1,48,-1,0.9136,93.48856839772941,65.97222222222221,58,5,0,0,1388.6999999999998,23.47926199261993,1412.1792619926198,-1920.0,-138.87,-2058.87,67,80,49,45,47
train,0.1,49,-1,0.9117999999999999,326.96643893133773,2.7777777777777777,0,0,220,1,1646.2999999999997,23.47926199261993,1669.7792619926197,-2248.0,-164.63,-2412.63,60,45,57,67,59
eval,0.1,49,0,0.0,329.59833967866325,6.944444444444445,0,0,250,2,3584.6,23.47926199261993,3608.0792619926196,-2494.0,-358.46000000000004,-2852.46,0,0,2,0,286
eval,0.1,49,1,0.0,293.1620847623283,2.7777777777777777,0,0,175,8,3587.4,23.47926199261993,3610.87926199262,-1831.0,-358.74,-2189.74,0,0,1,1,286
eval,0.1,49,2,0.0,70.70204886869412,23.958333333333336,154,23,0,0,3401.8,23.47926199261993,3425.27926199262,-3618.0,-340.18,-3958.1800000000003,6,0,16,0,266
eval,0.1,49,3,0.0,84.2707666584678,54.861111111111114,82,11,0,0,3249.7,23.47926199261993,3273.1792619926196,-2442.0,-324.97,-2766.9700000000003,4,0,39,0,245
eval,0.1,49,4,0.0,180.25566951304384,56.94444444444444,0,0,0,0,2704.7000000000003,23.47926199261993,2728.17926199262,202.0,-270.47,-68.47,0,0,115,2,171
train,0.1,50,-1,0.91,132.33986966380184,58.68055555555556,37,4,0,0,1614.8,23.47926199261993,1638.27926199262,-1061.0,-161.48000000000002,-1222.4800000000002,48,57,68,63,52
train,0.1,51,-1,0.9082,232.28165877088895,24.65277777777778,0,0,46,4,1695.9,23.47926199261993,1719.37926199262,-766.0,-169.59,-935.5899999999999,54,57,56,50,71
train,0.1,52,-1,0.9064,175.936067706521,59.72222222222222,0,0,0,0,1546.8999999999999,23.47926199261993,1570.3792619926198,192.0,-154.69,37.31,52,67,66,50,53
train,0.1,53,-1,0.9046,219.76752821470666,4.513888888888888,0,0,1,1,1672.2,23.47926199261993,1695.67926199262,-103.0,-167.22,-270.21999999999997,63,49,52,54,70
train,0.1,54,-1,0.9028,118.10100898568751,64.93055555555556,68,2,0,0,1458.1,23.47926199261993,1481.5792619926199,-1420.0,-145.80999999999997,-1565.81,56,78,61,44,49
train,0.1,55,-1,0.901,200.47991044383767,23.26388888888889,0,0,0,0,1606.5,23.47926199261993,1629.97926199262,20.0,-160.64999999999998,-140.65,59,68,52,40,69
train,0.1,56,-1,0.8992,118.3957015622406,78.47222222222221,51,2,0,0,1615.6,23.47926199261993,1639.0792619926199,-1119.0,-161.55999999999997,-1280.56,54,66,57,47,64
train,0.1,57,-1,0.8974,114.33876722221953,85.76388888888889,24,4,0,0,1546.0,23.47926199261993,1569.47926199262,-948.0,-154.6,-1102.6000000000001,66,51,61,54,56
train,0.1,58,-1,0.8956,149.4910324998524,92.70833333333334,0,0,0,0,1569.0,23.47926199261993,1592.47926199262,156.0,-156.89999999999998,-0.8999999999999915,49,67,68,50,54
train,0.1,59,-1,0.8938,183.74487463256733,45.48611111111111,0,0,0,0,1500.7,23.47926199261993,1524.17926199262,150.0,-150.07,-0.07000000000000028,68,51,63,55,51
train,0.1,60,-1,0.892,128.50381780263635,79.86111111111111,7,1,0,0,1617.3999999999999,23.47926199261993,1640.8792619926198,-563.0,-161.74,-724.74,54,56,63,57,58
train,0.1,61,-1,0.8902,85.0629604085363,56.59722222222222,102,9,0,0,1660.6,23.47926199261993,1684.0792619926199,-2610.0,-166.06,-2776.06,57,44,67,58,62
train,0.1,62,-1,0.8884,143.03198564513227,36.11111111111111,47,3,0,0,1597.6999999999998,23.47926199261993,1621.1792619926198,-1337.0,-159.76999999999998,-1496.7700000000002,49,60,75,47,57
train,0.1,63,-1,0.8866,113.1143159451876,56.59722222222222,85,7,0,0,1635.8,23.47926199261993,1659.27926199262,-1785.0,-163.57999999999998,-1948.5800000000002,65,40,61,60,62
