phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,48,-1,0.9136,197.04894208248862,26.73611111111111,0,0,0,0,1661.4,23.47926199261993,1684.87926199262,-345.0,-166.14,-511.14,59,64,34,65,66
train,0.1,49,-1,0.9117999999999999,133.93309883046857,59.02777777777778,35,4,0,0,1524.0,23.47926199261993,1547.47926199262,-750.0,-152.4,-902.4000000000001,60,54,59,71,44
train,0.1,50,-1,0.91,233.09035668755567,25.34722222222222,0,0,49,6,1649.0,23.47926199261993,1672.47926199262,-755.0,-164.9,-919.9000000000001,57,54,54,61,62
train,0.1,51,-1,0.9082,177.0993402759654,57.291666666666664,0,0,0,0,1553.5,23.47926199261993,1576.97926199262,-81.0,-155.35,-236.34999999999997,60,55,59,63,51
train,0.1,52,-1,0.9064,221.91001953415113,3.125,0,0,4,4,1499.6,23.47926199261993,1523.0792619926199,-581.0,-149.95999999999998,-730.96,61,61,60,58,48
train,0.1,53,-1,0.9046,116.75717884423021,65.27777777777779,68,2,0,0,1544.6,23.47926199261993,1568.0792619926199,-1275.0,-154.46,-1429.4600000000003,68,49,56,61,54
train,0.1,54,-1,0.9028,197.82627329105992,27.430555555555557,0,0,0,0,1652.1999999999998,23.47926199261993,1675.6792619926198,-339.0,-165.22,-504.22,62,53,48,59,66
train,0.1,55,-1,0.901,118.67318797483934,78.125,51,2,0,0,1583.5,23.47926199261993,1606.97926199262,-843.0,-158.35,-1001.35,59,48,63,67,51
train,0.1,56,-1,0.8992,113.0976545076149,85.06944444444444,24,4,0,0,1589.6,23.47926199261993,1613.0792619926199,-330.0,-158.95999999999998,-488.96,58,54,55,69,52
train,0.1,57,-1,0.8974,149.90367138874126,92.01388888888889,0,0,0,0,1503.3,23.47926199261993,1526.77926199262,219.0,-150.33,68.67,66,51,57,69,45
train,0.1,58,-1,0.8956,181.67773921590071,47.56944444444444,0,0,0,0,1584.6,23.47926199261993,1608.0792619926199,-165.0,-158.46,-323.46000000000004,64,54,51,61,58
train,0.1,59,-1,0.8938,130.87557127485863,81.25,7,1,0,0,1427.1,23.47926199261993,1450.5792619926199,-18.0,-142.70999999999998,-160.70999999999998,75,57,53,56,47
eval,0.1,59,0,0.0,90.7441941591552,60.416666666666664,92,10,0,0,429.4,23.47926199261993,452.8792619926199,-1776.0,-42.94,-1818.9399999999998,206,8,66,2,6
eval,0.1,59,1,0.0,133.22416941118638,31.59722222222222,52,5,0,0,1786.8,23.47926199261993,1810.27926199262,-1350.0,-178.68,-1528.68,113,4,47,0,124
eval,0.1,59,2,0.0,116.96986934896147,54.166666666666664,78,5,0,0,573.8,23.47926199261993,597.2792619926199,-1578.0,-57.38,-1635.38,207,9,45,1,26
